method,lr,weight_decay,hidden_channels,num_layers,power,val_acc,test_acc
linkx_aggr, 0.01,0.0005,32,1,2,84.0791 ± 0.2626, 83.6971 ± 0.2777
linkx_aggr, 0.001,0.0005,32,1,2,84.1162 ± 0.3402, 83.6744 ± 0.4010
linkx_aggr, 0.01,0.0005,32,2,2,84.7655 ± 0.3805, 84.3091 ± 0.3649
linkx_aggr, 0.001,0.0005,32,2,2,81.9953 ± 2.0033, 81.7950 ± 1.8479
linkx_aggr, 0.01,0.0005,32,1,5,83.4608 ± 0.4746, 83.0459 ± 0.3252
linkx_aggr, 0.01,0.0005,64,1,2,84.0544 ± 0.4737, 83.9382 ± 0.2204
linkx_aggr, 0.001,0.0005,64,1,2,84.1740 ± 0.3451, 83.7465 ± 0.2638
linkx_aggr, 0.001,0.0005,32,1,5,83.8730 ± 0.2800, 83.5219 ± 0.4408
linkx_aggr, 0.001,0.0005,32,2,5,82.3457 ± 1.6655, 81.9722 ± 1.4357
linkx_aggr, 0.01,0.0005,32,2,5,84.4028 ± 0.3018, 84.0989 ± 0.2535
linkx_aggr, 0.001,0.0005,64,2,2,83.1825 ± 0.9089, 82.9387 ± 1.3083
linkx_aggr, 0.01,0.0005,64,2,2,84.6666 ± 0.3065, 84.4781 ± 0.4993
linkx_aggr, 0.001,0.0005,64,1,5,83.9287 ± 0.2989, 83.5384 ± 0.2841
linkx_aggr, 0.01,0.0005,64,1,5,83.2773 ± 0.4860, 82.9408 ± 0.4705
linkx_aggr, 0.001,0.0005,64,2,5,83.3742 ± 0.5988, 83.0933 ± 0.7971
linkx_aggr, 0.01,0.0005,64,2,5,84.8562 ± 0.3382, 84.6430 ± 0.3857
linkx_aggr, 0.001,0.0005,32,2,10,82.1870 ± 1.4061, 81.9268 ± 1.3715
linkx_aggr, 0.01,0.0005,32,1,10,82.9166 ± 0.3310, 82.5739 ± 0.2478
linkx_aggr, 0.001,0.0005,32,1,10,83.5597 ± 0.2882, 83.1592 ± 0.4483
linkx_aggr, 0.01,0.0005,32,2,10,84.1369 ± 0.3821, 83.8578 ± 0.4448
linkx_aggr, 0.001,0.0005,128,1,2,84.2997 ± 0.2684, 83.8001 ± 0.3200
linkx_aggr, 0.01,0.0005,128,1,2,84.2688 ± 0.3750, 84.0021 ± 0.5284
linkx_aggr, 0.01,0.0005,128,2,2,85.1798 ± 0.3267, 84.7852 ± 0.2096
linkx_aggr, 0.001,0.0005,128,2,2,84.5367 ± 0.2346, 84.3565 ± 0.4873
linkx_aggr, 0.001,0.0005,64,1,10,83.5927 ± 0.3785, 83.2087 ± 0.3622
linkx_aggr, 0.01,0.0005,64,1,10,82.6672 ± 0.4219, 82.5410 ± 0.2953
linkx_aggr, 0.01,0.0005,64,2,10,84.4564 ± 0.3931, 84.2844 ± 0.4093
linkx_aggr, 0.001,0.0005,64,2,10,82.8672 ± 0.4758, 82.6255 ± 0.8137
linkx_aggr, 0.001,0.0005,128,1,5,84.0359 ± 0.2789, 83.6929 ± 0.4272
linkx_aggr, 0.01,0.0005,128,1,5,83.5639 ± 0.3357, 83.2622 ± 0.5687
linkx_aggr, 0.01,0.0005,128,2,5,85.2190 ± 0.4365, 84.7316 ± 0.3005
linkx_aggr, 0.001,0.0005,128,2,5,84.4460 ± 0.3114, 84.0453 ± 0.3874
linkx_aggr, 0.001,0.0005,128,1,10,83.6174 ± 0.2498, 83.2499 ± 0.3443
linkx_aggr, 0.01,0.0005,128,1,10,82.8795 ± 0.5191, 82.6419 ± 0.5179
linkx_aggr, 0.01,0.0005,128,2,10,84.8500 ± 0.3124, 84.5935 ± 0.3419
linkx_aggr, 0.001,0.0005,128,2,10,84.2502 ± 0.2688, 83.8207 ± 0.4899
