method,lr,weight_decay,hidden_channels,num_layers,power,val_acc,test_acc
linkx_aggr, 0.01,0.0005,32,1,2,89.7809 ± 0.5349, 89.7388 ± 0.4713
linkx_aggr, 0.001,0.0005,32,1,2,89.9597 ± 0.1922, 89.8910 ± 0.1684
linkx_aggr, 0.01,0.0005,32,2,2,91.1656 ± 0.0929, 91.1727 ± 0.1656
linkx_aggr, 0.001,0.0005,32,2,2,90.9776 ± 0.2246, 90.9384 ± 0.2407
linkx_aggr, 0.01,0.0005,32,1,5,89.6179 ± 0.2151, 89.5696 ± 0.1795
linkx_aggr, 0.001,0.0005,32,1,5,89.2728 ± 0.4460, 89.2228 ± 0.3676
linkx_aggr, 0.01,0.0005,32,2,5,90.9258 ± 0.3871, 90.9051 ± 0.3158
linkx_aggr, 0.001,0.0005,64,1,2,89.9605 ± 0.1729, 89.9657 ± 0.2268
linkx_aggr, 0.01,0.0005,64,1,2,89.6054 ± 0.2522, 89.5503 ± 0.3608
linkx_aggr, 0.001,0.0005,32,2,5,90.8044 ± 0.6325, 90.7733 ± 0.5616
linkx_aggr, 0.01,0.0005,64,2,2,91.1588 ± 0.0590, 91.1486 ± 0.1255
linkx_aggr, 0.001,0.0005,64,2,2,91.0855 ± 0.1315, 91.1046 ± 0.1061
linkx_aggr, 0.001,0.0005,32,1,10,88.4159 ± 0.2744, 88.3909 ± 0.2170
linkx_aggr, 0.01,0.0005,32,1,10,89.5942 ± 0.0852, 89.5151 ± 0.1602
linkx_aggr, 0.01,0.0005,32,2,10,90.7167 ± 0.2140, 90.7054 ± 0.2852
linkx_aggr, 0.01,0.0005,64,1,5,89.5918 ± 0.2010, 89.5327 ± 0.1395
linkx_aggr, 0.001,0.0005,64,1,5,89.6865 ± 0.3201, 89.6512 ± 0.1749
linkx_aggr, 0.01,0.0005,64,2,5,91.0270 ± 0.1575, 90.9900 ± 0.2073
linkx_aggr, 0.001,0.0005,32,2,10,89.0594 ± 1.7463, 89.0257 ± 1.6880
linkx_aggr, 0.001,0.0005,64,2,5,90.8608 ± 0.4684, 90.8738 ± 0.4428
linkx_aggr, 0.01,0.0005,128,1,2,89.4615 ± 0.6183, 89.4153 ± 0.5280
linkx_aggr, 0.001,0.0005,128,1,2,89.7561 ± 0.2063, 89.7237 ± 0.2792
linkx_aggr, 0.01,0.0005,128,2,2,91.0410 ± 0.0973, 91.0256 ± 0.1334
linkx_aggr, 0.001,0.0005,128,2,2,91.0702 ± 0.1377, 91.0606 ± 0.0692
linkx_aggr, 0.01,0.0005,64,1,10,89.6476 ± 0.2090, 89.5899 ± 0.2329
linkx_aggr, 0.01,0.0005,64,2,10,90.6520 ± 0.1973, 90.6056 ± 0.2840
linkx_aggr, 0.001,0.0005,64,1,10,89.6069 ± 0.1820, 89.5429 ± 0.1821
linkx_aggr, 0.001,0.0005,64,2,10,88.7987 ± 1.3323, 88.8356 ± 1.2930
linkx_aggr, 0.01,0.0005,128,1,5,89.3357 ± 0.2193, 89.3243 ± 0.2653
linkx_aggr, 0.01,0.0005,128,2,5,90.8904 ± 0.1212, 90.8383 ± 0.1468
linkx_aggr, 0.001,0.0005,128,1,5,89.7025 ± 0.1194, 89.6694 ± 0.1758
linkx_aggr, 0.001,0.0005,128,2,5,90.5942 ± 0.2871, 90.6174 ± 0.2858
linkx_aggr, 0.01,0.0005,128,1,10,89.3639 ± 0.3408, 89.3189 ± 0.2722
linkx_aggr, 0.001,0.0005,128,1,10,89.6106 ± 0.2661, 89.5514 ± 0.2984
linkx_aggr, 0.01,0.0005,128,2,10,90.6892 ± 0.1425, 90.6459 ± 0.2714
linkx_aggr, 0.001,0.0005,128,2,10,89.1590 ± 1.0704, 89.1522 ± 0.9987
