method,lr,weight_decay,hidden_channels,num_layers,power,val_acc,test_acc
linkx_aggr, 0.01,0.0005,32,1,2,66.4048 ± 0.3349, 65.9378 ± 0.2641
linkx_aggr, 0.01,0.0005,32,2,2,66.1592 ± 0.4113, 65.6956 ± 0.4796
linkx_aggr, 0.001,0.0005,32,1,2,66.2749 ± 0.1614, 65.6799 ± 0.1725
linkx_aggr, 0.01,0.0005,32,1,5,66.3567 ± 0.1629, 65.9026 ± 0.1646
linkx_aggr, 0.01,0.0005,64,1,2,66.3762 ± 0.3870, 65.8445 ± 0.1201
linkx_aggr, 0.001,0.0005,32,2,2,65.5696 ± 0.0971, 65.0551 ± 0.2385
linkx_aggr, 0.01,0.0005,32,2,5,66.3510 ± 0.1371, 65.9445 ± 0.1735
linkx_aggr, 0.01,0.0005,64,2,2,66.2430 ± 0.4373, 65.7103 ± 0.3025
linkx_aggr, 0.001,0.0005,32,1,5,66.2387 ± 0.1574, 65.6885 ± 0.2053
linkx_aggr, 0.001,0.0005,64,1,2,66.2501 ± 0.2196, 65.6328 ± 0.1140
linkx_aggr, 0.001,0.0005,32,2,5,65.8799 ± 0.3390, 65.4077 ± 0.3192
linkx_aggr, 0.001,0.0005,64,2,2,65.4873 ± 0.4195, 65.0180 ± 0.6003
linkx_aggr, 0.01,0.0005,64,1,5,66.3515 ± 0.2975, 65.9326 ± 0.2584
linkx_aggr, 0.01,0.0005,64,2,5,65.8361 ± 0.7476, 65.3853 ± 0.5945
linkx_aggr, 0.01,0.0005,32,1,10,66.3453 ± 0.1211, 65.9169 ± 0.1684
linkx_aggr, 0.001,0.0005,64,1,5,66.2092 ± 0.2912, 65.6699 ± 0.0731
linkx_aggr, 0.01,0.0005,32,2,10,66.3158 ± 0.3742, 65.6813 ± 0.2424
linkx_aggr, 0.01,0.0005,128,1,2,66.3201 ± 0.1441, 65.7855 ± 0.1670
linkx_aggr, 0.001,0.0005,32,1,10,66.1802 ± 0.2360, 65.7103 ± 0.2013
linkx_aggr, 0.01,0.0005,128,2,2,66.3339 ± 0.2766, 65.8288 ± 0.2905
linkx_aggr, 0.001,0.0005,128,1,2,66.5685 ± 0.2327, 66.0473 ± 0.1263
linkx_aggr, 0.001,0.0005,64,2,5,65.8109 ± 0.2340, 65.3197 ± 0.4500
linkx_aggr, 0.001,0.0005,32,2,10,65.8604 ± 0.2555, 65.3663 ± 0.1696
linkx_aggr, 0.001,0.0005,128,2,2,66.1231 ± 0.5390, 65.6271 ± 0.6048
linkx_aggr, 0.01,0.0005,64,1,10,66.2929 ± 0.4036, 65.8517 ± 0.2075
linkx_aggr, 0.01,0.0005,64,2,10,65.8999 ± 0.2521, 65.4691 ± 0.4190
linkx_aggr, 0.01,0.0005,128,1,5,66.4376 ± 0.2142, 66.0877 ± 0.2465
linkx_aggr, 0.001,0.0005,64,1,10,66.1040 ± 0.2287, 65.5447 ± 0.1180
linkx_aggr, 0.01,0.0005,128,2,5,66.2663 ± 0.3311, 65.7427 ± 0.1967
linkx_aggr, 0.001,0.0005,128,1,5,66.4919 ± 0.2524, 65.9778 ± 0.1170
linkx_aggr, 0.001,0.0005,64,2,10,66.0526 ± 0.2643, 65.5557 ± 0.4381
linkx_aggr, 0.001,0.0005,128,2,5,66.3110 ± 0.4971, 65.8284 ± 0.4567
linkx_aggr, 0.01,0.0005,128,1,10,66.0712 ± 0.1533, 65.6218 ± 0.2436
linkx_aggr, 0.01,0.0005,128,2,10,66.2811 ± 0.1812, 65.6404 ± 0.2343
linkx_aggr, 0.001,0.0005,128,1,10,66.3363 ± 0.2155, 65.8250 ± 0.1585
linkx_aggr, 0.001,0.0005,128,2,10,66.3596 ± 0.4467, 65.9093 ± 0.4467
