method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.01,0.001,64,2,1,False,92.2667 ± 0.6555, 91.6419 ± 0.6128
ognn, 0.01,0.001,64,2,2,False,92.2222 ± 1.0304, 92.2869 ± 0.3602
ognn, 0.01,0.001,128,2,1,False,92.3556 ± 1.0954, 91.7909 ± 0.7166
ognn, 0.01,0.001,64,5,1,False,92.4000 ± 0.9480, 92.3164 ± 0.2913
ognn, 0.001,0.001,64,2,1,False,92.6222 ± 1.0588, 92.7305 ± 0.4757
ognn, 0.01,0.001,64,5,2,False,92.6667 ± 0.9938, 92.1663 ± 0.6053
ognn, 0.01,0.001,128,2,2,False,92.4444 ± 0.7857, 92.1151 ± 0.5703
ognn, 0.001,0.001,64,2,2,False,92.7111 ± 1.0110, 92.9113 ± 0.3217
ognn, 0.01,0.001,64,5,5,False,92.5778 ± 0.7132, 91.9661 ± 0.6640
ognn, 0.01,0.001,128,5,1,False,92.6222 ± 1.0110, 92.2072 ± 0.2641
ognn, 0.001,0.001,64,5,1,False,92.8000 ± 0.8972, 92.9523 ± 0.5015
ognn, 0.01,0.001,64,10,1,False,92.3556 ± 0.7470, 92.1310 ± 0.3199
ognn, 0.01,0.001,128,5,2,False,92.5778 ± 0.7303, 92.1219 ± 0.5988
ognn, 0.01,0.001,128,2,5,False,92.2222 ± 0.7536, 92.1276 ± 0.3931
ognn, 0.01,0.001,64,10,2,False,92.4444 ± 0.7027, 92.1322 ± 0.2825
ognn, 0.001,0.001,64,5,2,False,92.8889 ± 1.0999, 93.1218 ± 0.4125
ognn, 0.001,0.001,64,2,5,False,92.7556 ± 1.0727, 92.7783 ± 0.5102
ognn, 0.001,0.001,128,2,1,False,92.9778 ± 1.2232, 92.6964 ± 0.7762
ognn, 0.001,0.001,128,2,2,False,92.9333 ± 1.0232, 92.8397 ± 0.5223
ognn, 0.01,0.001,64,10,5,False,92.3556 ± 0.7794, 92.2425 ± 0.3473
ognn, 0.01,0.001,128,5,5,False,92.6222 ± 0.9863, 92.2755 ± 0.6306
ognn, 0.01,0.001,128,10,1,False,92.4444 ± 0.7536, 92.4029 ± 0.4955
ognn, 0.001,0.001,64,5,5,False,92.8889 ± 1.3966, 93.0376 ± 0.4373
ognn, 0.001,0.001,64,10,1,False,92.8889 ± 0.8749, 93.1502 ± 0.3622
ognn, 0.01,0.001,128,10,2,False,92.5778 ± 0.9376, 92.4427 ± 0.5924
ognn, 0.001,0.001,128,5,1,False,93.0667 ± 0.9610, 93.0547 ± 0.4156
ognn, 0.001,0.001,64,10,2,False,92.9333 ± 0.9610, 92.9762 ± 0.4364
ognn, 0.01,0.001,64,20,1,False,92.3556 ± 0.9763, 92.1219 ± 0.6782
ognn, 0.01,0.0005,128,5,2,False,91.8222 ± 0.6740, 91.3632 ± 0.3157
ognn, 0.001,0.001,128,5,2,False,92.9778 ± 1.1287, 93.0581 ± 0.5153
ognn, 0.001,0.001,128,2,5,False,92.9778 ± 1.1611, 92.7282 ± 0.4858
ognn, 0.01,0.001,64,20,2,False,92.3556 ± 0.9243, 92.1834 ± 0.3144
ognn, 0.001,0.001,64,10,5,False,92.8889 ± 1.0183, 93.0251 ± 0.3899
ognn, 0.01,0.001,64,20,5,False,92.4000 ± 0.9349, 92.0036 ± 0.6340
ognn, 0.001,0.001,128,5,5,False,93.0667 ± 1.1375, 92.5769 ± 0.7511
ognn, 0.01,0.0005,128,5,5,False,92.1778 ± 0.6363, 92.0708 ± 0.8561
ognn, 0.001,0.0005,64,2,1,False,92.5333 ± 1.0012, 92.7168 ± 0.4644
ognn, 0.01,0.0005,128,10,1,False,92.1778 ± 0.9988, 91.7557 ± 0.6077
ognn, 0.001,0.001,128,10,1,False,92.9778 ± 1.0256, 93.0365 ± 0.5981
ognn, 0.001,0.0005,64,2,2,False,92.6667 ± 1.3517, 92.7020 ± 0.5050
ognn, 0.001,0.001,64,20,1,False,92.6667 ± 1.0999, 92.8511 ± 0.5842
ognn, 0.001,0.001,128,10,2,False,93.0667 ± 0.9863, 92.9113 ± 0.7044
ognn, 0.01,0.0005,128,10,2,False,92.2222 ± 0.7698, 91.4793 ± 0.6524
ognn, 0.001,0.001,64,20,2,False,92.5778 ± 1.0256, 92.9398 ± 0.2266
ognn, 0.001,0.0005,64,2,5,False,92.5333 ± 1.0494, 92.7680 ± 0.2470
ognn, 0.001,0.0005,64,5,1,False,92.6667 ± 1.1653, 93.0581 ± 0.4682
ognn, 0.001,0.001,64,20,5,False,92.6667 ± 0.8315, 92.8510 ± 0.4095
ognn, 0.01,0.0005,128,10,5,False,91.9556 ± 0.7269, 92.2891 ± 0.7566
ognn, 0.001,0.0005,64,5,2,False,92.6222 ± 1.2313, 93.0387 ± 0.4442
ognn, 0.001,0.0005,128,2,1,False,93.0667 ± 1.1375, 92.8010 ± 0.2566
ognn, 0.001,0.0005,64,5,5,False,92.8000 ± 1.2824, 93.0410 ± 0.3698
ognn, 0.001,0.0005,64,10,1,False,92.7556 ± 1.0727, 93.1218 ± 0.4152
ognn, 0.001,0.001,128,10,5,False,93.1111 ± 1.0887, 92.9955 ± 0.6171
ognn, 0.001,0.0005,64,10,2,False,92.6667 ± 1.0999, 92.9978 ± 0.4521
ognn, 0.001,0.0005,128,2,2,False,92.8444 ± 1.1266, 92.6668 ± 0.7526
ognn, 0.01,0.0005,128,20,1,False,91.9556 ± 0.8664, 91.5373 ± 1.1415
ognn, 0.001,0.0005,64,10,5,False,92.8000 ± 1.1396, 93.0023 ± 0.4733
ognn, 0.01,0.0005,128,20,2,False,91.7778 ± 0.8749, 91.7818 ± 0.9093
ognn, 0.001,0.0005,128,5,1,False,92.9333 ± 1.0352, 93.0228 ± 0.3000
ognn, 0.001,0.0005,128,5,2,False,93.0222 ± 1.0841, 92.8954 ± 0.5730
ognn, 0.001,0.0005,128,2,5,False,92.9778 ± 1.0376, 92.7043 ± 0.3009
ognn, 0.001,0.0005,64,20,1,False,92.5778 ± 1.2727, 92.9875 ± 0.3405
ognn, 0.01,0.0005,128,20,5,False,91.7778 ± 0.9027, 91.8546 ± 1.0354
ognn, 0.001,0.0005,64,20,2,False,92.7556 ± 1.1287, 92.9568 ± 0.2391
ognn, 0.001,0.0005,128,5,5,False,92.9778 ± 1.1067, 92.8374 ± 0.3222
ognn, 0.001,0.001,128,20,1,False,92.8000 ± 0.8549, 92.9637 ± 0.3623
ognn, 0.001,0.0005,64,20,5,False,92.4889 ± 1.0232, 92.9136 ± 0.3503
ognn, 0.001,0.0005,128,10,1,False,92.9778 ± 1.0256, 92.8931 ± 0.4517
ognn, 0.001,0.0005,128,10,2,False,93.1556 ± 0.9988, 92.9580 ± 0.3503
ognn, 0.001,0.001,128,20,2,False,92.7111 ± 0.8805, 92.6736 ± 0.4435
