method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.01,0.001,64,2,1,True,69.2800 ± 1.7754, 65.9600 ± 0.9839
ognn, 0.01,0.001,128,2,1,True,69.2800 ± 1.8740, 65.0800 ± 2.0523
ognn, 0.001,0.001,64,2,1,True,68.1600 ± 2.6283, 66.0600 ± 1.0784
ognn, 0.01,0.001,64,2,2,True,69.0800 ± 1.8363, 66.0000 ± 1.9222
ognn, 0.01,0.001,128,2,2,True,68.7200 ± 1.6162, 65.1200 ± 2.2939
ognn, 0.001,0.001,64,2,2,True,68.4000 ± 2.3537, 66.5800 ± 1.2008
ognn, 0.01,0.001,64,5,1,True,71.8800 ± 1.7239, 68.5000 ± 1.2490
ognn, 0.01,0.001,128,5,1,True,71.2400 ± 1.3221, 68.0000 ± 1.1045
ognn, 0.001,0.001,64,5,1,True,71.0400 ± 1.9256, 68.8000 ± 1.3323
ognn, 0.01,0.001,64,5,2,True,71.6800 ± 1.6407, 68.5800 ± 1.5073
ognn, 0.01,0.0005,128,5,2,True,71.2800 ± 1.7297, 67.4600 ± 1.3240
ognn, 0.01,0.001,128,5,2,True,71.4800 ± 1.7065, 67.7200 ± 0.6380
ognn, 0.001,0.001,64,5,2,True,71.2000 ± 1.7607, 68.6400 ± 1.1971
ognn, 0.01,0.001,64,2,5,True,68.9600 ± 1.9411, 65.5400 ± 1.4346
ognn, 0.01,0.001,128,2,5,True,68.8400 ± 1.7855, 65.6600 ± 1.4188
ognn, 0.001,0.001,64,2,5,True,68.1600 ± 2.3126, 66.2800 ± 0.9783
ognn, 0.01,0.001,64,10,1,True,72.8400 ± 1.8188, 69.4800 ± 1.8267
ognn, 0.01,0.0005,128,10,1,True,72.6400 ± 1.7111, 69.5000 ± 0.6285
ognn, 0.01,0.0005,128,5,5,True,70.8800 ± 1.0060, 67.3600 ± 1.8555
ognn, 0.01,0.001,64,5,5,True,71.5200 ± 1.2775, 68.8400 ± 0.9607
ognn, 0.001,0.001,64,10,1,True,72.2800 ± 1.8953, 69.2200 ± 0.9011
ognn, 0.01,0.001,128,10,1,True,72.6400 ± 2.2199, 69.5200 ± 0.8319
ognn, 0.001,0.001,64,5,5,True,70.7600 ± 1.2116, 68.3800 ± 0.8228
ognn, 0.01,0.001,128,5,5,True,70.9600 ± 1.5126, 67.9200 ± 1.4412
ognn, 0.01,0.001,128,10,2,True,72.3200 ± 1.3387, 69.5400 ± 1.2054
ognn, 0.01,0.0005,64,2,1,True,69.0800 ± 1.8417, 65.9000 ± 1.3820
ognn, 0.01,0.0005,128,10,5,True,72.0400 ± 1.5388, 68.5400 ± 0.8019
ognn, 0.01,0.0005,64,2,2,True,68.4800 ± 1.3971, 65.5000 ± 1.1916
ognn, 0.001,0.001,128,2,1,True,62.2400 ± 14.7495, 58.4800 ± 15.4662
ognn, 0.001,0.001,64,10,5,True,71.7600 ± 1.1610, 68.2200 ± 0.9011
ognn, 0.01,0.001,64,10,5,True,72.1200 ± 1.4325, 68.4000 ± 0.6519
ognn, 0.001,0.001,128,2,2,True,68.2400 ± 2.2064, 65.4800 ± 1.8308
ognn, 0.01,0.0005,64,5,1,True,71.3600 ± 1.7111, 68.2400 ± 0.8764
ognn, 0.01,0.001,64,10,2,True,72.2400 ± 1.4100, 69.1600 ± 1.1524
ognn, 0.01,0.0005,128,20,1,True,72.7600 ± 1.9256, 69.5400 ± 1.1149
ognn, 0.01,0.0005,64,5,2,True,71.2000 ± 1.2961, 67.8600 ± 1.5694
ognn, 0.01,0.0005,128,20,2,True,72.6400 ± 1.6757, 68.7400 ± 0.5459
ognn, 0.01,0.0005,64,2,5,True,68.4000 ± 1.4353, 66.0000 ± 1.5732
ognn, 0.01,0.001,64,20,1,True,72.7600 ± 2.3512, 69.1000 ± 1.1068
ognn, 0.01,0.001,64,20,2,True,72.3200 ± 1.7470, 68.9800 ± 1.2071
ognn, 0.001,0.001,128,5,1,True,64.5200 ± 15.8963, 61.1000 ± 17.0672
ognn, 0.001,0.001,128,2,5,True,68.4400 ± 1.7911, 66.1800 ± 2.3037
ognn, 0.001,0.001,128,5,2,True,71.2000 ± 1.3565, 69.1800 ± 0.9203
ognn, 0.01,0.0005,128,20,5,True,72.8000 ± 2.0000, 68.7600 ± 0.9581
ognn, 0.01,0.0005,64,10,1,True,72.5200 ± 1.5595, 69.7800 ± 1.1323
ognn, 0.01,0.0005,128,2,1,True,68.7600 ± 1.3221, 65.7800 ± 1.5156
ognn, 0.01,0.001,64,20,5,True,72.6800 ± 1.9215, 69.0200 ± 1.5073
