method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.01,0.001,64,2,1,True,77.5600 ± 2.1090, 77.2000 ± 0.9950
ognn, 0.001,0.001,64,2,1,True,47.5600 ± 2.6207, 46.2800 ± 3.4673
ognn, 0.001,0.0005,64,2,1,True,47.1600 ± 3.6862, 45.8200 ± 3.8803
ognn, 0.001,0.001,128,2,1,True,49.7200 ± 3.8068, 48.7400 ± 4.1914
ognn, 0.01,0.001,64,2,2,True,76.9200 ± 1.9110, 76.8200 ± 1.4394
ognn, 0.01,0.001,128,2,1,True,77.3600 ± 1.9718, 77.8600 ± 0.5595
ognn, 0.01,0.001,128,2,2,True,77.3600 ± 1.8676, 77.5200 ± 0.6535
ognn, 0.001,0.001,64,2,2,True,74.6000 ± 2.1401, 76.0600 ± 1.6950
ognn, 0.001,0.0005,64,2,2,True,74.4400 ± 2.2733, 75.5000 ± 2.0555
ognn, 0.001,0.001,128,2,2,True,71.7200 ± 9.1527, 70.9400 ± 10.4694
ognn, 0.01,0.001,64,5,1,True,82.1200 ± 0.7294, 81.8800 ± 1.4550
ognn, 0.01,0.001,128,5,1,True,82.6000 ± 0.5099, 81.3600 ± 1.4467
ognn, 0.001,0.0005,64,5,1,True,52.6400 ± 15.8161, 51.9000 ± 16.2291
ognn, 0.001,0.0005,64,5,2,True,79.9600 ± 0.9940, 80.6400 ± 1.0621
ognn, 0.001,0.001,64,5,1,True,53.3200 ± 15.4503, 51.9800 ± 16.7331
ognn, 0.01,0.001,64,5,2,True,82.2800 ± 0.8075, 81.3200 ± 0.5975
ognn, 0.001,0.001,128,5,1,True,50.4800 ± 3.9461, 48.9400 ± 4.7690
ognn, 0.01,0.0005,128,5,2,True,82.1600 ± 1.0139, 81.4000 ± 1.1662
ognn, 0.01,0.001,128,5,2,True,82.1200 ± 0.7823, 81.2000 ± 0.7906
ognn, 0.001,0.001,64,5,2,True,80.3200 ± 0.7950, 80.6400 ± 0.9450
ognn, 0.01,0.001,64,2,5,True,77.6400 ± 1.2361, 77.8800 ± 0.5891
ognn, 0.01,0.001,128,2,5,True,77.3600 ± 1.6456, 77.3400 ± 1.0334
ognn, 0.001,0.001,128,5,2,True,75.7200 ± 11.1441, 75.2800 ± 12.0835
ognn, 0.001,0.001,64,2,5,True,75.4400 ± 1.5710, 75.9800 ± 1.3424
ognn, 0.001,0.0005,64,2,5,True,74.8400 ± 1.8569, 75.7000 ± 1.5050
ognn, 0.001,0.0005,64,10,1,True,81.6800 ± 0.5404, 81.4000 ± 0.3162
ognn, 0.001,0.001,128,2,5,True,75.4800 ± 1.5271, 75.2800 ± 1.0183
ognn, 0.01,0.001,64,10,1,True,83.4800 ± 0.3033, 82.2600 ± 0.9555
ognn, 0.001,0.0005,64,5,5,True,80.0000 ± 1.1136, 80.3400 ± 0.8204
ognn, 0.01,0.001,64,5,5,True,82.2000 ± 0.9900, 81.7000 ± 1.0271
ognn, 0.001,0.001,64,10,1,True,81.9600 ± 0.5550, 81.9200 ± 0.7260
ognn, 0.001,0.001,64,5,5,True,80.3600 ± 0.9317, 80.4800 ± 0.6535
