method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.01,0.001,64,2,1,True,78.2000 ± 1.9079, 78.2200 ± 1.0183
ognn, 0.01,0.001,64,2,2,True,77.8400 ± 2.0020, 76.0800 ± 2.7289
ognn, 0.01,0.001,128,2,1,True,77.7200 ± 1.5007, 76.9000 ± 1.3360
ognn, 0.001,0.001,64,2,1,True,73.0400 ± 9.7851, 72.9200 ± 10.1537
ognn, 0.01,0.001,64,5,1,True,79.6000 ± 1.7550, 79.0000 ± 1.0198
ognn, 0.01,0.001,128,2,2,True,78.2400 ± 1.4311, 77.1000 ± 1.1292
ognn, 0.001,0.001,64,2,2,True,76.3600 ± 2.9980, 75.5800 ± 3.3237
ognn, 0.01,0.001,64,5,2,True,79.4400 ± 1.2602, 78.3200 ± 1.2337
ognn, 0.01,0.001,64,2,5,True,77.8000 ± 2.0050, 76.7800 ± 1.7908
ognn, 0.001,0.001,64,5,1,True,73.1200 ± 11.1262, 71.5800 ± 11.8479
ognn, 0.01,0.001,128,5,1,True,79.4000 ± 1.4213, 79.5400 ± 1.3576
ognn, 0.001,0.001,64,5,2,True,78.3600 ± 1.6211, 78.5400 ± 1.0526
ognn, 0.01,0.001,64,5,5,True,79.6400 ± 1.7401, 78.4600 ± 1.4311
ognn, 0.001,0.001,64,2,5,True,75.8000 ± 2.8844, 75.6000 ± 2.4809
ognn, 0.01,0.001,128,5,2,True,79.6000 ± 1.5811, 78.3000 ± 1.1895
ognn, 0.01,0.001,128,2,5,True,77.8000 ± 1.6553, 77.3800 ± 1.0183
ognn, 0.01,0.001,64,10,2,True,80.5200 ± 1.6407, 79.4600 ± 0.8173
ognn, 0.01,0.001,64,10,1,True,80.4000 ± 1.5033, 79.5400 ± 1.7401
ognn, 0.001,0.001,64,5,5,True,78.4400 ± 1.9718, 78.0200 ± 2.5908
ognn, 0.001,0.001,64,10,1,True,74.1200 ± 11.1916, 73.4800 ± 12.2930
ognn, 0.01,0.001,64,10,5,True,80.3600 ± 1.8133, 78.4800 ± 2.4243
ognn, 0.01,0.001,128,5,5,True,79.6400 ± 2.0900, 79.2600 ± 1.4398
ognn, 0.01,0.0005,64,2,1,True,78.3600 ± 2.0756, 77.7000 ± 1.7607
ognn, 0.01,0.001,128,10,1,True,80.8000 ± 0.9487, 79.8800 ± 0.9680
ognn, 0.001,0.001,64,10,2,True,79.2800 ± 1.8199, 78.1800 ± 1.3142
ognn, 0.01,0.0005,128,5,2,True,79.4400 ± 1.4381, 77.6800 ± 1.8308
ognn, 0.01,0.001,128,10,2,True,80.7600 ± 1.4450, 79.2800 ± 0.9884
ognn, 0.01,0.0005,64,2,2,True,77.7200 ± 1.9110, 77.1600 ± 0.9633
ognn, 0.01,0.001,64,20,1,True,79.9600 ± 2.5706, 78.5600 ± 3.0940
ognn, 0.01,0.001,64,20,2,True,80.8400 ± 1.6637, 79.9800 ± 1.5770
ognn, 0.01,0.0005,64,5,1,True,79.4400 ± 1.6697, 78.3400 ± 1.0854
ognn, 0.01,0.0005,64,2,5,True,77.8000 ± 1.7378, 77.6400 ± 0.4037
ognn, 0.001,0.001,128,2,1,True,72.0000 ± 12.6807, 70.4200 ± 15.0515
ognn, 0.01,0.0005,128,5,5,True,79.2400 ± 1.9360, 77.9800 ± 1.2988
ognn, 0.01,0.0005,64,5,2,True,79.2400 ± 1.6211, 79.3400 ± 1.3903
ognn, 0.01,0.001,64,20,5,True,80.7600 ± 1.6456, 79.7200 ± 1.3084
ognn, 0.01,0.0005,128,10,1,True,80.3600 ± 1.8022, 79.0400 ± 2.0526
ognn, 0.001,0.001,64,10,5,True,79.5600 ± 2.0317, 78.6800 ± 1.5222
ognn, 0.01,0.0005,128,2,1,True,77.7600 ± 1.6994, 77.1600 ± 1.0644
ognn, 0.001,0.001,128,2,2,True,72.5600 ± 11.1995, 71.0600 ± 13.3140
ognn, 0.01,0.0005,128,10,2,True,80.2400 ± 1.4311, 79.2800 ± 1.2398
ognn, 0.01,0.0005,64,5,5,True,79.6000 ± 1.7146, 78.3400 ± 1.6134
ognn, 0.01,0.0005,64,10,1,True,80.3600 ± 1.6087, 79.2400 ± 1.0213
ognn, 0.01,0.001,128,10,5,True,80.7200 ± 1.5007, 79.3800 ± 1.7427
ognn, 0.01,0.0005,128,2,2,True,77.6800 ± 2.2208, 77.3400 ± 0.9762
ognn, 0.01,0.0005,64,10,2,True,80.4800 ± 1.3312, 79.6400 ± 1.2973
ognn, 0.01,0.0005,128,10,5,True,80.0800 ± 1.1100, 79.6200 ± 1.7050
ognn, 0.001,0.001,128,2,5,True,74.8000 ± 6.6798, 74.5600 ± 6.5489
ognn, 0.01,0.0005,128,2,5,True,77.9600 ± 1.5646, 77.5600 ± 1.0090
ognn, 0.01,0.0005,64,10,5,True,80.0000 ± 1.6793, 79.2000 ± 1.3565
ognn, 0.001,0.001,128,5,1,True,73.3600 ± 13.7502, 71.6200 ± 15.6679
ognn, 0.01,0.0005,128,5,1,True,79.3600 ± 1.8298, 78.5600 ± 1.3740
ognn, 0.001,0.001,64,20,1,True,78.7600 ± 1.9152, 78.3200 ± 1.5991
ognn, 0.001,0.001,128,5,2,True,73.8400 ± 12.1321, 72.4200 ± 14.7138
ognn, 0.001,0.0005,64,2,1,True,70.5200 ± 9.0880, 69.6400 ± 12.0430
ognn, 0.01,0.001,128,20,1,True,80.9600 ± 1.7516, 79.6000 ± 1.1958
ognn, 0.001,0.0005,64,2,2,True,76.9200 ± 1.5531, 76.5200 ± 1.1167
ognn, 0.01,0.001,128,20,2,True,80.7600 ± 1.5710, 79.5800 ± 0.4550
ognn, 0.001,0.001,64,20,2,True,79.2400 ± 2.1973, 79.2400 ± 2.0477
ognn, 0.01,0.0005,64,20,1,True,79.8800 ± 1.1009, 78.8000 ± 1.4577
ognn, 0.01,0.0005,64,20,2,True,80.4400 ± 1.1781, 79.6000 ± 1.5215
ognn, 0.01,0.001,128,20,5,True,80.6800 ± 1.5595, 79.6000 ± 1.3172
ognn, 0.001,0.001,64,20,5,True,79.6400 ± 2.4265, 79.0800 ± 1.9331
ognn, 0.001,0.001,128,5,5,True,78.1200 ± 3.5682, 77.4000 ± 3.4749
ognn, 0.01,0.0005,64,20,5,True,80.8000 ± 1.3928, 79.4600 ± 1.1803
ognn, 0.001,0.0005,64,2,5,True,76.6800 ± 2.2253, 76.5600 ± 1.5884
ognn, 0.001,0.0005,64,5,1,True,78.2800 ± 1.9370, 77.8400 ± 2.2233
ognn, 0.01,0.0005,128,20,2,True,80.6800 ± 1.5139, 79.8000 ± 1.3946
ognn, 0.001,0.001,128,10,1,True,73.6400 ± 13.8372, 71.8400 ± 15.7305
