method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.01,0.001,64,2,1,False,54.6819 ± 0.3392, 54.5272 ± 0.5655
ognn, 0.01,0.001,64,2,2,False,56.1937 ± 0.1797, 56.2227 ± 0.2375
ognn, 0.001,0.001,64,2,1,False,55.1496 ± 0.1528, 55.0970 ± 0.4148
ognn, 0.01,0.001,128,2,1,False,54.9706 ± 0.1057, 54.9562 ± 0.4838
ognn, 0.01,0.001,64,5,1,False,54.5209 ± 0.1072, 54.3378 ± 0.4992
ognn, 0.001,0.001,64,2,2,False,56.2093 ± 0.0788, 56.1150 ± 0.2120
ognn, 0.01,0.001,64,5,2,False,55.5073 ± 0.2834, 55.3691 ± 0.2655
ognn, 0.01,0.001,128,2,2,False,56.1469 ± 0.2342, 56.2378 ± 0.4804
ognn, 0.001,0.001,64,5,1,False,55.2725 ± 0.1220, 55.2358 ± 0.3795
ognn, 0.01,0.001,64,5,5,False,55.4671 ± 0.1161, 55.5136 ± 0.3036
ognn, 0.01,0.001,128,5,1,False,54.4500 ± 0.3134, 54.5315 ± 0.3734
ognn, 0.01,0.001,64,10,1,False,53.7536 ± 0.2945, 53.6183 ± 0.2214
ognn, 0.001,0.001,64,5,2,False,55.8384 ± 0.1180, 55.8802 ± 0.2143
ognn, 0.001,0.001,64,2,5,False,56.4502 ± 0.1449, 56.3512 ± 0.2648
ognn, 0.01,0.001,64,10,2,False,54.4207 ± 0.2639, 54.4219 ± 0.3119
ognn, 0.01,0.001,128,5,2,False,55.4671 ± 0.2460, 55.4801 ± 0.2410
ognn, 0.01,0.001,128,2,5,False,55.9443 ± 0.3468, 55.8221 ± 0.3997
ognn, 0.01,0.001,64,10,5,False,54.8331 ± 0.3605, 54.7942 ± 0.2261
ognn, 0.001,0.001,64,5,5,False,55.9409 ± 0.1639, 55.9752 ± 0.2743
ognn, 0.01,0.001,128,5,5,False,55.1666 ± 0.1760, 55.0596 ± 0.2523
ognn, 0.01,0.001,128,10,1,False,53.8750 ± 0.3632, 53.7530 ± 0.3056
ognn, 0.01,0.001,64,20,1,False,52.6014 ± 0.2447, 52.4657 ± 0.5477
ognn, 0.01,0.001,128,10,2,False,54.5468 ± 0.1710, 54.4616 ± 0.3965
ognn, 0.01,0.0005,128,5,2,False,55.7543 ± 0.2770, 55.6780 ± 0.3427
ognn, 0.01,0.001,64,20,2,False,53.8887 ± 0.3875, 53.7686 ± 0.4541
