method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.01,0.001,64,2,1,False,66.0231 ± 0.2084, 65.3297 ± 0.1998
ognn, 0.01,0.001,64,2,2,False,66.3953 ± 0.0938, 65.7613 ± 0.3470
ognn, 0.01,0.001,128,2,1,False,66.0621 ± 0.1594, 65.3520 ± 0.2968
ognn, 0.001,0.001,64,2,1,False,65.7828 ± 0.1786, 65.1293 ± 0.0780
ognn, 0.01,0.001,128,2,2,False,66.4219 ± 0.1355, 65.9568 ± 0.1659
ognn, 0.01,0.001,64,5,1,False,66.1288 ± 0.1942, 65.4596 ± 0.1870
ognn, 0.01,0.001,64,5,2,False,66.4333 ± 0.1248, 65.8455 ± 0.1248
ognn, 0.01,0.001,64,2,5,False,66.2782 ± 0.1332, 65.7708 ± 0.1022
ognn, 0.001,0.001,64,2,2,False,66.2877 ± 0.0889, 65.6242 ± 0.0931
ognn, 0.01,0.001,128,5,1,False,66.1407 ± 0.0952, 65.4210 ± 0.3166
