method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.01,0.001,64,2,1,False,54.6819 ± 0.3392, 54.5272 ± 0.5655
ognn, 0.01,0.001,64,2,2,False,56.1937 ± 0.1797, 56.2227 ± 0.2375
ognn, 0.001,0.001,64,2,1,False,55.1496 ± 0.1528, 55.0970 ± 0.4148
ognn, 0.01,0.001,128,2,1,False,54.9706 ± 0.1057, 54.9562 ± 0.4838
ognn, 0.01,0.001,64,5,1,False,54.5209 ± 0.1072, 54.3378 ± 0.4992
ognn, 0.001,0.001,64,2,2,False,56.2093 ± 0.0788, 56.1150 ± 0.2120
ognn, 0.01,0.001,64,5,2,False,55.5073 ± 0.2834, 55.3691 ± 0.2655
ognn, 0.01,0.001,128,2,2,False,56.1469 ± 0.2342, 56.2378 ± 0.4804
ognn, 0.001,0.001,64,5,1,False,55.2725 ± 0.1220, 55.2358 ± 0.3795
ognn, 0.01,0.001,64,5,5,False,55.4671 ± 0.1161, 55.5136 ± 0.3036
ognn, 0.01,0.001,128,5,1,False,54.4500 ± 0.3134, 54.5315 ± 0.3734
ognn, 0.01,0.001,64,10,1,False,53.7536 ± 0.2945, 53.6183 ± 0.2214
ognn, 0.001,0.001,64,5,2,False,55.8384 ± 0.1180, 55.8802 ± 0.2143
ognn, 0.001,0.001,64,2,5,False,56.4502 ± 0.1449, 56.3512 ± 0.2648
ognn, 0.01,0.001,64,10,2,False,54.4207 ± 0.2639, 54.4219 ± 0.3119
ognn, 0.01,0.001,128,5,2,False,55.4671 ± 0.2460, 55.4801 ± 0.2410
ognn, 0.01,0.001,128,2,5,False,55.9443 ± 0.3468, 55.8221 ± 0.3997
ognn, 0.01,0.001,64,10,5,False,54.8331 ± 0.3605, 54.7942 ± 0.2261
ognn, 0.001,0.001,64,5,5,False,55.9409 ± 0.1639, 55.9752 ± 0.2743
ognn, 0.01,0.001,128,5,5,False,55.1666 ± 0.1760, 55.0596 ± 0.2523
ognn, 0.01,0.001,128,10,1,False,53.8750 ± 0.3632, 53.7530 ± 0.3056
ognn, 0.01,0.001,64,20,1,False,52.6014 ± 0.2447, 52.4657 ± 0.5477
ognn, 0.01,0.001,128,10,2,False,54.5468 ± 0.1710, 54.4616 ± 0.3965
ognn, 0.01,0.0005,128,5,2,False,55.7543 ± 0.2770, 55.6780 ± 0.3427
ognn, 0.01,0.001,64,20,2,False,53.8887 ± 0.3875, 53.7686 ± 0.4541
ognn, 0.001,0.001,128,2,1,False,55.3405 ± 0.3624, 55.3662 ± 0.3974
ognn, 0.01,0.001,64,20,5,False,53.8897 ± 0.4352, 53.8380 ± 0.4180
ognn, 0.001,0.001,64,10,5,False,55.5961 ± 0.1951, 55.5443 ± 0.3633
ognn, 0.001,0.001,128,2,2,False,56.4214 ± 0.3373, 56.4390 ± 0.3167
ognn, 0.01,0.0005,128,5,5,False,55.1232 ± 0.1352, 55.1782 ± 0.3809
ognn, 0.01,0.0005,128,10,1,False,53.5670 ± 0.1572, 53.4048 ± 0.2814
ognn, 0.001,0.001,128,5,1,False,55.6136 ± 0.2497, 55.6331 ± 0.5042
ognn, 0.001,0.001,128,2,5,False,56.4771 ± 0.1892, 56.5307 ± 0.1552
ognn, 0.01,0.0005,128,10,2,False,54.6262 ± 0.1651, 54.5665 ± 0.3903
ognn, 0.001,0.0005,64,2,1,False,55.1085 ± 0.1557, 55.1333 ± 0.3056
ognn, 0.001,0.001,128,5,2,False,56.1630 ± 0.1853, 56.2071 ± 0.3722
ognn, 0.001,0.0005,64,2,2,False,56.1635 ± 0.1019, 56.1093 ± 0.1567
ognn, 0.001,0.001,64,20,2,False,54.6937 ± 0.1934, 54.7110 ± 0.3170
ognn, 0.01,0.0005,128,10,5,False,54.5407 ± 0.2557, 54.4956 ± 0.5143
ognn, 0.001,0.0005,64,2,5,False,56.3411 ± 0.1543, 56.2383 ± 0.1889
ognn, 0.001,0.0005,64,5,1,False,55.2550 ± 0.1401, 55.2056 ± 0.3393
ognn, 0.001,0.001,128,5,5,False,56.0997 ± 0.2564, 55.9837 ± 0.3249
ognn, 0.001,0.0005,64,5,2,False,55.8224 ± 0.1410, 55.8490 ± 0.2177
ognn, 0.001,0.001,128,10,1,False,55.0835 ± 0.3012, 55.0667 ± 0.3682
ognn, 0.001,0.0005,64,5,5,False,55.8214 ± 0.1590, 55.8755 ± 0.2801
ognn, 0.001,0.0005,64,10,1,False,54.5430 ± 0.2154, 54.5806 ± 0.3360
ognn, 0.001,0.001,128,10,2,False,55.6362 ± 0.2067, 55.6246 ± 0.3085
ognn, 0.001,0.0005,128,2,1,False,55.2677 ± 0.3659, 55.3497 ± 0.4031
ognn, 0.001,0.0005,64,10,2,False,55.3079 ± 0.1707, 55.3776 ± 0.2323
ognn, 0.01,0.0005,128,20,1,False,52.4942 ± 0.1842, 52.4732 ± 0.5670
ognn, 0.001,0.0005,128,2,2,False,56.3203 ± 0.3206, 56.3658 ± 0.3493
ognn, 0.01,0.0005,128,20,2,False,54.2029 ± 0.2126, 54.1862 ± 0.3672
ognn, 0.001,0.0005,64,10,5,False,55.4132 ± 0.2072, 55.4966 ± 0.3305
ognn, 0.001,0.001,128,10,5,False,55.6060 ± 0.2120, 55.6294 ± 0.2968
ognn, 0.001,0.0005,128,5,1,False,55.5687 ± 0.2811, 55.5854 ± 0.4596
ognn, 0.001,0.0005,128,2,5,False,56.4035 ± 0.2261, 56.3597 ± 0.3728
ognn, 0.001,0.0005,128,5,2,False,56.1550 ± 0.2114, 56.1410 ± 0.3259
ognn, 0.01,0.0005,128,20,5,False,53.9029 ± 0.2141, 53.9367 ± 0.2653
ognn, 0.001,0.0005,64,20,1,False,53.6209 ± 0.2593, 53.6098 ± 0.5724
ognn, 0.001,0.0005,64,20,2,False,54.7349 ± 0.1781, 54.7587 ± 0.3863
ognn, 0.001,0.0005,128,5,5,False,55.9962 ± 0.1906, 55.9530 ± 0.2794
ognn, 0.001,0.0005,64,20,5,False,54.9295 ± 0.2839, 54.9085 ± 0.4051
ognn, 0.001,0.0005,128,10,1,False,55.1241 ± 0.2275, 55.1262 ± 0.3400
ognn, 0.001,0.001,128,20,1,False,54.0862 ± 0.2866, 54.0832 ± 0.2884
ognn, 0.001,0.0005,128,10,2,False,55.6783 ± 0.2512, 55.6615 ± 0.3272
ognn, 0.001,0.001,128,20,2,False,54.8761 ± 0.2714, 54.9354 ± 0.3725
ognn, 0.001,0.0005,128,10,5,False,55.5862 ± 0.2055, 55.5523 ± 0.2860
ognn, 0.001,0.001,128,20,5,False,54.9545 ± 0.3396, 55.0223 ± 0.2412
ognn, 0.001,0.0005,128,20,1,False,54.0810 ± 0.2675, 54.0237 ± 0.2515
ognn, 0.001,0.0005,128,20,2,False,54.8851 ± 0.2841, 54.9784 ± 0.3866
ognn, 0.001,0.0005,128,20,5,False,54.8265 ± 0.3284, 54.8376 ± 0.2922
