method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.01,0.001,64,2,1,False,84.9613 ± 0.2555, 84.8202 ± 0.4395
ognn, 0.01,0.001,64,2,2,False,83.7885 ± 0.6528, 83.2540 ± 0.5616
ognn, 0.001,0.0005,64,2,1,False,84.8789 ± 0.2833, 84.7254 ± 0.4703
ognn, 0.001,0.001,64,2,1,False,84.6645 ± 0.3403, 84.4328 ± 0.4248
ognn, 0.01,0.0005,64,2,2,False,84.4605 ± 0.2918, 83.9876 ± 0.6597
ognn, 0.01,0.001,128,2,1,False,85.1242 ± 0.4106, 84.7089 ± 0.5243
ognn, 0.01,0.001,64,5,1,False,84.9036 ± 0.2413, 84.7336 ± 0.4760
ognn, 0.01,0.001,64,2,5,False,84.0544 ± 0.2409, 83.3076 ± 0.6026
ognn, 0.001,0.0005,64,2,2,False,79.4868 ± 0.2875, 79.0108 ± 0.4861
ognn, 0.01,0.001,64,5,2,False,85.0582 ± 0.2515, 84.9088 ± 0.6221
ognn, 0.001,0.001,64,2,2,False,79.4620 ± 0.2831, 79.0582 ± 0.4907
ognn, 0.01,0.0005,64,2,5,False,84.2688 ± 0.5740, 83.9979 ± 0.8560
ognn, 0.01,0.001,128,2,2,False,83.7514 ± 0.4419, 83.3488 ± 0.7671
ognn, 0.001,0.001,128,2,1,False,84.5615 ± 0.3061, 84.3235 ± 0.4900
ognn, 0.01,0.001,64,5,5,False,84.2935 ± 0.1804, 83.8990 ± 0.4246
ognn, 0.001,0.0005,64,5,1,False,85.0644 ± 0.3078, 84.9026 ± 0.4436
ognn, 0.001,0.001,64,5,1,False,84.7758 ± 0.3494, 84.5853 ± 0.3979
ognn, 0.01,0.001,128,2,5,False,84.1678 ± 0.2306, 83.8928 ± 0.6044
ognn, 0.01,0.001,64,10,1,False,85.4457 ± 0.5407, 85.4426 ± 0.6017
ognn, 0.001,0.0005,64,2,5,False,83.0836 ± 0.1540, 82.6687 ± 0.2800
ognn, 0.001,0.001,128,2,2,False,79.5878 ± 0.3127, 78.8274 ± 0.4091
ognn, 0.001,0.0005,64,5,2,False,79.5610 ± 0.2078, 79.2004 ± 0.5395
ognn, 0.001,0.001,64,5,2,False,79.5445 ± 0.1877, 79.1324 ± 0.4900
ognn, 0.001,0.001,64,2,5,False,82.9249 ± 0.2552, 82.5162 ± 0.4513
ognn, 0.01,0.001,128,5,5,False,84.2708 ± 0.3889, 84.0989 ± 0.6115
ognn, 0.01,0.001,64,10,5,False,84.6687 ± 0.5914, 84.5564 ± 0.6873
ognn, 0.001,0.001,64,5,5,False,82.9867 ± 0.3307, 82.5966 ± 0.5762
ognn, 0.001,0.0005,64,5,5,False,83.1949 ± 0.1959, 82.6172 ± 0.3619
ognn, 0.001,0.001,128,5,1,False,84.7655 ± 0.2970, 84.5173 ± 0.4786
ognn, 0.001,0.001,64,10,1,False,84.8253 ± 0.3520, 84.6965 ± 0.4218
ognn, 0.001,0.0005,64,10,1,False,85.0933 ± 0.2767, 84.8779 ± 0.4153
ognn, 0.01,0.0005,128,5,2,False,85.2499 ± 0.5382, 85.1644 ± 0.5884
ognn, 0.001,0.001,128,5,2,False,79.7733 ± 0.2287, 79.0046 ± 0.4162
ognn, 0.001,0.001,128,2,5,False,82.6157 ± 0.2188, 82.1783 ± 0.4854
ognn, 0.001,0.001,64,10,2,False,79.5754 ± 0.1778, 79.0005 ± 0.7642
ognn, 0.01,0.001,64,20,1,False,84.0956 ± 0.3896, 83.5507 ± 0.4438
ognn, 0.01,0.001,128,10,5,False,84.8686 ± 0.5823, 84.6306 ± 0.8760
ognn, 0.01,0.001,64,20,2,False,84.3286 ± 0.8676, 83.7424 ± 1.2673
