method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.01,0.001,64,2,1,False,66.0231 ± 0.2084, 65.3297 ± 0.1998
ognn, 0.01,0.001,64,2,2,False,66.3953 ± 0.0938, 65.7613 ± 0.3470
ognn, 0.01,0.001,128,2,1,False,66.0621 ± 0.1594, 65.3520 ± 0.2968
ognn, 0.001,0.001,64,2,1,False,65.7828 ± 0.1786, 65.1293 ± 0.0780
ognn, 0.01,0.001,128,2,2,False,66.4219 ± 0.1355, 65.9568 ± 0.1659
ognn, 0.01,0.001,64,5,1,False,66.1288 ± 0.1942, 65.4596 ± 0.1870
ognn, 0.01,0.001,64,5,2,False,66.4333 ± 0.1248, 65.8455 ± 0.1248
ognn, 0.01,0.001,64,2,5,False,66.2782 ± 0.1332, 65.7708 ± 0.1022
ognn, 0.001,0.001,64,2,2,False,66.2877 ± 0.0889, 65.6242 ± 0.0931
ognn, 0.01,0.001,128,5,1,False,66.1407 ± 0.0952, 65.4210 ± 0.3166
ognn, 0.01,0.001,64,5,5,False,66.2768 ± 0.1782, 65.7532 ± 0.1787
ognn, 0.01,0.001,128,5,2,False,66.4338 ± 0.1778, 65.7736 ± 0.1678
ognn, 0.01,0.001,128,2,5,False,66.3363 ± 0.1328, 65.7931 ± 0.1726
ognn, 0.01,0.001,64,10,1,False,66.1259 ± 0.1434, 65.4967 ± 0.1038
ognn, 0.001,0.001,128,2,1,False,65.8737 ± 0.0900, 65.2902 ± 0.1950
ognn, 0.001,0.001,64,5,1,False,65.8390 ± 0.1650, 65.1260 ± 0.0485
ognn, 0.01,0.001,64,10,2,False,66.3620 ± 0.1448, 65.7832 ± 0.2345
ognn, 0.001,0.001,64,2,5,False,66.5290 ± 0.1242, 66.0582 ± 0.2035
ognn, 0.001,0.001,64,5,2,False,66.3776 ± 0.0631, 65.6970 ± 0.0923
ognn, 0.001,0.001,128,2,2,False,66.4205 ± 0.0345, 65.7094 ± 0.3253
ognn, 0.01,0.001,128,5,5,False,66.3301 ± 0.1481, 65.6171 ± 0.2049
ognn, 0.01,0.001,64,10,5,False,66.2425 ± 0.1801, 65.6732 ± 0.3298
ognn, 0.01,0.001,128,10,1,False,66.2944 ± 0.1613, 65.5895 ± 0.2063
ognn, 0.01,0.001,128,10,2,False,66.4233 ± 0.1784, 65.8750 ± 0.2396
ognn, 0.001,0.0005,64,2,1,False,65.7952 ± 0.1839, 65.1279 ± 0.0587
ognn, 0.001,0.001,64,5,5,False,66.4628 ± 0.2252, 65.8978 ± 0.0721
ognn, 0.001,0.0005,64,2,2,False,66.3163 ± 0.1427, 65.5657 ± 0.1015
ognn, 0.01,0.0005,128,5,2,False,66.4638 ± 0.0646, 65.9112 ± 0.1952
ognn, 0.001,0.001,64,10,1,False,65.8628 ± 0.1927, 65.1374 ± 0.0836
ognn, 0.001,0.001,128,5,1,False,65.8961 ± 0.0643, 65.3182 ± 0.1969
ognn, 0.01,0.001,64,20,1,False,66.2311 ± 0.1219, 65.5229 ± 0.1904
ognn, 0.001,0.001,64,10,2,False,66.3496 ± 0.0530, 65.5938 ± 0.0846
ognn, 0.01,0.001,64,20,2,False,66.3838 ± 0.1890, 65.7237 ± 0.2589
ognn, 0.001,0.001,128,2,5,False,66.5466 ± 0.1251, 65.9725 ± 0.1291
ognn, 0.001,0.001,128,5,2,False,66.4338 ± 0.0681, 65.8493 ± 0.1690
ognn, 0.01,0.001,64,20,5,False,66.1226 ± 0.1894, 65.4876 ± 0.2159
ognn, 0.01,0.0005,128,5,5,False,66.3186 ± 0.1798, 65.7931 ± 0.1785
ognn, 0.001,0.001,64,10,5,False,66.4976 ± 0.1805, 65.8983 ± 0.2125
ognn, 0.001,0.0005,64,2,5,False,66.5404 ± 0.1407, 65.9854 ± 0.1822
ognn, 0.001,0.0005,64,5,1,False,65.8818 ± 0.1305, 65.1702 ± 0.0647
ognn, 0.01,0.0005,128,10,1,False,66.2344 ± 0.0958, 65.4953 ± 0.1046
ognn, 0.001,0.0005,64,5,2,False,66.3729 ± 0.1044, 65.6547 ± 0.1529
ognn, 0.01,0.0005,128,10,2,False,66.4081 ± 0.0948, 65.8108 ± 0.1860
ognn, 0.01,0.001,128,10,5,False,66.2201 ± 0.1129, 65.5719 ± 0.1855
ognn, 0.001,0.001,128,5,5,False,66.5218 ± 0.1313, 65.9844 ± 0.1531
ognn, 0.001,0.001,128,10,1,False,65.9327 ± 0.1046, 65.2797 ± 0.1796
ognn, 0.001,0.001,64,20,1,False,65.8133 ± 0.1609, 65.1455 ± 0.0821
ognn, 0.001,0.0005,64,5,5,False,66.5851 ± 0.1805, 66.0753 ± 0.1190
ognn, 0.001,0.001,128,10,2,False,66.4148 ± 0.1052, 65.8193 ± 0.1655
ognn, 0.001,0.001,64,20,2,False,66.3534 ± 0.0717, 65.6233 ± 0.0620
ognn, 0.001,0.0005,64,10,1,False,65.8580 ± 0.2042, 65.1812 ± 0.0836
ognn, 0.01,0.0005,128,10,5,False,66.2268 ± 0.2445, 65.6318 ± 0.2312
ognn, 0.01,0.001,128,20,1,False,66.2530 ± 0.1428, 65.5290 ± 0.1439
ognn, 0.001,0.0005,64,10,2,False,66.3834 ± 0.0701, 65.6599 ± 0.2014
ognn, 0.001,0.001,64,20,5,False,66.4238 ± 0.2254, 65.7946 ± 0.1464
ognn, 0.001,0.001,128,10,5,False,66.5180 ± 0.1383, 66.0073 ± 0.1687
ognn, 0.001,0.0005,64,10,5,False,66.5309 ± 0.1206, 65.9526 ± 0.1718
ognn, 0.01,0.0005,128,20,1,False,66.1668 ± 0.1563, 65.5371 ± 0.2203
ognn, 0.01,0.0005,128,20,2,False,66.3629 ± 0.1505, 65.8107 ± 0.2220
ognn, 0.001,0.0005,64,20,1,False,65.8095 ± 0.1477, 65.1012 ± 0.1057
ognn, 0.001,0.0005,64,20,2,False,66.3696 ± 0.0848, 65.5505 ± 0.1075
ognn, 0.001,0.001,128,20,1,False,65.9636 ± 0.0917, 65.3487 ± 0.2070
ognn, 0.01,0.0005,128,20,5,False,66.1173 ± 0.2189, 65.4810 ± 0.2790
ognn, 0.001,0.001,128,20,2,False,66.4595 ± 0.0694, 65.9273 ± 0.2205
ognn, 0.001,0.0005,64,20,5,False,66.4091 ± 0.0982, 65.7889 ± 0.3160
