method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn_no_strc, 0.001,0.001,64,2,1,True,77.2400 ± 1.5582, 77.0200 ± 1.6932
ognn_no_strc, 0.01,0.0005,64,2,1,True,77.2800 ± 1.9728, 76.7600 ± 1.6817
ognn_no_strc, 0.01,0.001,64,2,1,True,77.6400 ± 1.9047, 76.9600 ± 1.2482
ognn_no_strc, 0.01,0.0005,128,2,1,True,77.2400 ± 2.0465, 76.9600 ± 0.9737
ognn_no_strc, 0.01,0.001,128,2,1,True,77.5600 ± 2.0317, 76.9400 ± 1.2582
ognn_no_strc, 0.001,0.001,64,5,1,True,78.0800 ± 1.5073, 77.5400 ± 1.0237
ognn_no_strc, 0.01,0.0005,64,5,1,True,78.7200 ± 2.0229, 78.7200 ± 1.4856
ognn_no_strc, 0.01,0.001,64,5,1,True,78.5600 ± 1.5900, 77.7600 ± 2.2367
ognn_no_strc, 0.01,0.0005,128,5,1,True,78.2800 ± 1.7978, 78.0400 ± 1.6349
ognn_no_strc, 0.01,0.001,128,5,1,True,78.5600 ± 1.9870, 78.9600 ± 1.0945
ognn_no_strc, 0.001,0.001,128,2,1,True,77.2800 ± 1.6769, 77.4400 ± 0.9423
ognn_no_strc, 0.001,0.0005,64,2,1,True,77.0400 ± 1.5388, 77.1200 ± 1.2071
