method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn_no_strc, 0.001,0.001,64,2,1,True,77.2400 ± 1.5582, 77.0200 ± 1.6932
ognn_no_strc, 0.01,0.0005,64,2,1,True,77.2800 ± 1.9728, 76.7600 ± 1.6817
ognn_no_strc, 0.01,0.001,64,2,1,True,77.6400 ± 1.9047, 76.9600 ± 1.2482
ognn_no_strc, 0.01,0.0005,128,2,1,True,77.2400 ± 2.0465, 76.9600 ± 0.9737
ognn_no_strc, 0.01,0.001,128,2,1,True,77.5600 ± 2.0317, 76.9400 ± 1.2582
ognn_no_strc, 0.001,0.001,64,5,1,True,78.0800 ± 1.5073, 77.5400 ± 1.0237
ognn_no_strc, 0.01,0.0005,64,5,1,True,78.7200 ± 2.0229, 78.7200 ± 1.4856
ognn_no_strc, 0.01,0.001,64,5,1,True,78.5600 ± 1.5900, 77.7600 ± 2.2367
ognn_no_strc, 0.01,0.0005,128,5,1,True,78.2800 ± 1.7978, 78.0400 ± 1.6349
ognn_no_strc, 0.01,0.001,128,5,1,True,78.5600 ± 1.9870, 78.9600 ± 1.0945
ognn_no_strc, 0.001,0.001,128,2,1,True,77.2800 ± 1.6769, 77.4400 ± 0.9423
ognn_no_strc, 0.001,0.0005,64,2,1,True,77.0400 ± 1.5388, 77.1200 ± 1.2071
ognn_no_strc, 0.001,0.001,64,10,1,True,79.1200 ± 1.8740, 78.3600 ± 1.8311
ognn_no_strc, 0.01,0.0005,64,10,1,True,79.5200 ± 1.7355, 78.7000 ± 2.3162
ognn_no_strc, 0.01,0.001,64,10,1,True,79.8800 ± 1.8199, 79.2800 ± 1.9383
ognn_no_strc, 0.001,0.001,128,5,1,True,78.1600 ± 1.9463, 78.0400 ± 1.5421
ognn_no_strc, 0.001,0.0005,64,5,1,True,78.0400 ± 1.3221, 77.8200 ± 1.3971
ognn_no_strc, 0.001,0.0005,128,2,1,True,77.2000 ± 2.0000, 76.7600 ± 1.5978
ognn_no_strc, 0.01,0.0005,128,10,1,True,79.6400 ± 1.8352, 78.6400 ± 1.9008
ognn_no_strc, 0.01,0.001,128,10,1,True,79.9200 ± 1.7355, 79.1000 ± 1.6325
ognn_no_strc, 0.001,0.0005,128,5,1,True,78.0800 ± 1.9267, 78.0600 ± 2.2941
ognn_no_strc, 0.001,0.0005,64,10,1,True,78.8000 ± 1.9079, 78.0200 ± 2.5173
ognn_no_strc, 0.001,0.001,64,20,1,True,79.2400 ± 1.7743, 78.8800 ± 1.7079
ognn_no_strc, 0.01,0.001,64,20,1,True,80.1600 ± 1.8889, 79.6200 ± 1.7908
ognn_no_strc, 0.01,0.0005,64,20,1,True,80.0800 ± 2.1382, 79.2400 ± 2.1466
ognn_no_strc, 0.001,0.001,128,10,1,True,79.2800 ± 2.0957, 78.0000 ± 2.1331
ognn_no_strc, 0.001,0.0005,128,10,1,True,79.2400 ± 1.9616, 78.1400 ± 2.2479
ognn_no_strc, 0.001,0.0005,64,20,1,True,78.9600 ± 1.9463, 79.0200 ± 1.5353
ognn_no_strc, 0.01,0.0005,128,20,1,True,80.3600 ± 1.5962, 79.5200 ± 1.6843
ognn_no_strc, 0.01,0.001,128,20,1,True,80.3600 ± 1.7516, 79.1800 ± 1.7341
ognn_no_strc, 0.001,0.001,128,20,1,True,79.4000 ± 2.1071, 78.7400 ± 2.2233
ognn_no_strc, 0.001,0.0005,128,20,1,True,79.0000 ± 2.1726, 78.5200 ± 2.3763
