method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.01,0.001,128,2,1,True,70.0400 ± 2.0995, 66.5000 ± 1.1336
ognn, 0.001,0.001,128,2,1,True,69.8400 ± 2.2909, 67.5000 ± 1.1979
ognn, 0.001,0.0005,64,2,1,True,69.2000 ± 2.4125, 67.1000 ± 1.4000
ognn, 0.01,0.001,64,2,1,True,70.1200 ± 2.3264, 67.0200 ± 1.6589
ognn, 0.001,0.001,128,2,2,True,69.1200 ± 2.0620, 66.7800 ± 1.3274
ognn, 0.001,0.001,64,2,1,True,69.8400 ± 2.1973, 67.6000 ± 1.2369
ognn, 0.01,0.001,128,2,2,True,70.3600 ± 1.9819, 67.2000 ± 1.1203
ognn, 0.01,0.001,64,2,2,True,70.6000 ± 2.2539, 67.3000 ± 0.9695
ognn, 0.001,0.001,128,5,1,True,71.7600 ± 1.8730, 68.9400 ± 1.3259
ognn, 0.001,0.001,64,2,2,True,69.4000 ± 2.5652, 67.0800 ± 0.8497
ognn, 0.01,0.001,128,5,1,True,71.8000 ± 1.6912, 67.7800 ± 0.8044
ognn, 0.001,0.001,128,5,2,True,71.3600 ± 1.4170, 68.4800 ± 0.8643
ognn, 0.01,0.001,64,5,1,True,71.9200 ± 1.8580, 68.7800 ± 0.9121
ognn, 0.001,0.001,64,5,1,True,71.4000 ± 1.7263, 68.8400 ± 1.1908
ognn, 0.01,0.0005,128,5,2,True,71.8000 ± 1.4422, 68.4800 ± 0.8167
ognn, 0.001,0.001,128,2,5,True,69.4800 ± 2.3478, 66.9200 ± 1.6316
ognn, 0.01,0.001,128,5,2,True,71.8000 ± 1.7550, 68.3600 ± 1.4605
ognn, 0.01,0.001,64,5,2,True,71.8000 ± 1.7607, 68.3200 ± 0.6419
ognn, 0.001,0.001,64,5,2,True,71.0000 ± 1.4967, 68.4000 ± 1.1158
ognn, 0.01,0.001,128,2,5,True,70.2800 ± 1.9930, 67.7400 ± 1.4536
ognn, 0.01,0.001,64,10,1,True,72.3600 ± 1.5962, 68.3200 ± 1.0986
ognn, 0.01,0.001,64,2,5,True,70.8800 ± 2.5597, 67.3000 ± 0.9381
ognn, 0.001,0.001,64,2,5,True,69.3600 ± 2.0852, 67.0600 ± 1.0691
ognn, 0.001,0.001,128,10,1,True,71.8000 ± 2.0248, 68.5800 ± 1.9614
ognn, 0.01,0.001,64,10,2,True,72.4400 ± 1.4519, 68.7200 ± 0.3564
ognn, 0.001,0.001,128,5,5,True,71.0400 ± 0.9633, 68.3200 ± 0.7887
