method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.001,0.0005,64,2,1,True,65.9600 ± 17.4226, 65.7200 ± 18.5137
ognn, 0.001,0.001,128,2,1,True,53.6400 ± 14.1035, 52.9800 ± 15.7322
ognn, 0.001,0.001,64,2,1,True,59.5200 ± 18.4990, 59.4000 ± 19.3205
ognn, 0.001,0.001,128,2,2,True,76.8000 ± 2.8178, 76.7200 ± 3.0136
ognn, 0.01,0.001,128,2,1,True,79.7600 ± 1.4381, 79.2200 ± 1.8674
ognn, 0.01,0.001,64,2,1,True,79.2400 ± 1.7228, 79.2600 ± 0.8532
ognn, 0.001,0.001,64,2,2,True,77.4000 ± 1.2329, 77.6800 ± 1.1692
ognn, 0.001,0.001,128,5,1,True,61.8800 ± 18.4578, 61.3800 ± 19.5800
ognn, 0.01,0.001,128,2,2,True,79.6000 ± 1.6492, 79.0000 ± 1.8262
ognn, 0.01,0.001,64,2,2,True,79.5600 ± 1.7630, 78.8400 ± 1.5598
ognn, 0.01,0.001,64,5,1,True,82.7200 ± 1.0733, 81.7200 ± 0.9284
ognn, 0.001,0.001,128,5,2,True,81.3600 ± 0.7127, 81.6600 ± 0.6804
ognn, 0.001,0.001,64,5,1,True,65.6000 ± 21.2988, 66.0800 ± 22.2758
ognn, 0.01,0.001,128,5,1,True,83.2800 ± 0.8075, 82.2400 ± 0.7057
ognn, 0.001,0.001,128,2,5,True,70.3600 ± 3.4334, 70.9400 ± 4.3478
ognn, 0.01,0.001,64,5,2,True,82.6400 ± 0.8877, 82.5000 ± 0.8515
ognn, 0.01,0.0005,128,5,2,True,82.5600 ± 0.9940, 82.3200 ± 0.8136
ognn, 0.001,0.001,64,5,2,True,81.0000 ± 0.7483, 80.9000 ± 0.8426
ognn, 0.01,0.001,128,5,2,True,82.9200 ± 1.2377, 81.9000 ± 1.0794
ognn, 0.001,0.001,64,2,5,True,77.6400 ± 1.9204, 77.5800 ± 1.8887
ognn, 0.01,0.001,64,2,5,True,78.6000 ± 2.0543, 78.5600 ± 2.0416
ognn, 0.01,0.001,128,2,5,True,78.4400 ± 2.5589, 77.1600 ± 2.1870
ognn, 0.001,0.001,128,10,1,True,82.6800 ± 0.5404, 81.6600 ± 0.9370
ognn, 0.001,0.001,64,10,2,True,81.9600 ± 0.5727, 81.1800 ± 0.6573
ognn, 0.001,0.001,128,5,5,True,81.2400 ± 0.5727, 80.6000 ± 0.9407
ognn, 0.01,0.001,128,10,1,True,83.6000 ± 0.5477, 82.3600 ± 1.0644
ognn, 0.001,0.001,64,10,1,True,82.2000 ± 0.5099, 81.6200 ± 1.0872
ognn, 0.001,0.0005,64,2,2,True,77.0000 ± 1.4000, 77.5600 ± 1.2300
ognn, 0.001,0.001,128,10,2,True,82.6000 ± 0.2449, 81.6400 ± 0.8444
ognn, 0.01,0.001,64,10,1,True,83.9200 ± 0.7155, 82.5000 ± 0.7906
ognn, 0.01,0.0005,128,10,1,True,83.7600 ± 0.7403, 82.4800 ± 1.2153
ognn, 0.01,0.0005,128,5,5,True,82.9600 ± 0.5899, 82.2200 ± 0.3701
ognn, 0.01,0.001,64,5,5,True,83.0400 ± 1.3667, 82.6600 ± 1.2361
ognn, 0.001,0.001,64,5,5,True,81.0800 ± 1.0640, 80.6600 ± 0.6731
ognn, 0.01,0.001,128,10,2,True,84.0800 ± 0.5762, 82.2800 ± 1.6377
ognn, 0.01,0.0005,128,10,2,True,83.5600 ± 0.4336, 81.9000 ± 1.1180
ognn, 0.01,0.001,128,5,5,True,83.0400 ± 0.7403, 81.7400 ± 1.3483
ognn, 0.01,0.001,64,10,2,True,83.5200 ± 0.2280, 82.2400 ± 0.8989
ognn, 0.001,0.001,64,10,5,True,81.8000 ± 0.9165, 81.1400 ± 0.5727
ognn, 0.01,0.0005,64,2,1,True,78.8800 ± 2.1288, 78.8800 ± 1.0281
ognn, 0.001,0.0005,64,5,1,True,75.0800 ± 13.0189, 76.1000 ± 13.3351
ognn, 0.001,0.0005,64,5,2,True,80.8000 ± 0.6325, 81.0600 ± 0.8295
ognn, 0.001,0.001,128,10,5,True,82.3600 ± 0.2966, 81.3200 ± 0.9602
ognn, 0.001,0.0005,64,2,5,True,77.1600 ± 1.2280, 77.9400 ± 1.0262
ognn, 0.001,0.001,64,20,1,True,82.2400 ± 0.6693, 81.4000 ± 0.7382
ognn, 0.01,0.0005,64,2,2,True,79.0400 ± 1.7967, 79.0600 ± 1.1992
ognn, 0.01,0.0005,128,10,5,True,84.1600 ± 0.7403, 82.3800 ± 1.3864
ognn, 0.01,0.001,64,10,5,True,83.6400 ± 0.5550, 82.8800 ± 0.7662
ognn, 0.001,0.0005,128,2,1,True,60.1600 ± 16.7041, 59.5600 ± 18.2139
ognn, 0.001,0.0005,128,2,2,True,77.2800 ± 1.3682, 77.7400 ± 1.3183
ognn, 0.001,0.001,64,20,2,True,81.9200 ± 0.6099, 81.2200 ± 0.6723
ognn, 0.01,0.0005,64,5,1,True,82.0400 ± 1.1261, 81.3400 ± 0.6841
ognn, 0.001,0.001,128,20,1,True,82.6000 ± 0.5831, 81.7400 ± 0.3209
ognn, 0.001,0.0005,64,10,1,True,82.1600 ± 0.7127, 81.4400 ± 0.5030
ognn, 0.001,0.0005,128,5,1,True,66.6000 ± 19.7828, 66.6600 ± 20.7339
ognn, 0.001,0.001,128,20,2,True,82.4400 ± 0.6229, 81.9000 ± 0.9925
ognn, 0.01,0.0005,64,2,5,True,79.3200 ± 1.8472, 79.0800 ± 1.0378
ognn, 0.001,0.0005,64,10,2,True,81.5200 ± 0.6419, 81.5000 ± 0.6964
ognn, 0.01,0.001,64,20,1,True,83.8000 ± 0.6164, 82.6600 ± 0.5030
ognn, 0.01,0.0005,64,5,2,True,82.6000 ± 1.0677, 81.9200 ± 1.3572
ognn, 0.001,0.0005,64,5,5,True,80.7200 ± 1.1100, 80.8400 ± 0.7301
ognn, 0.01,0.0005,128,20,1,True,84.2400 ± 0.5899, 82.8000 ± 1.0050
ognn, 0.001,0.001,64,20,5,True,81.9600 ± 0.6542, 81.5400 ± 0.6914
ognn, 0.01,0.0005,128,2,1,True,79.2800 ± 1.3535, 79.3000 ± 1.3838
ognn, 0.01,0.0005,64,5,5,True,82.4000 ± 1.0863, 81.7200 ± 1.1563
ognn, 0.01,0.001,64,20,2,True,83.9600 ± 0.5550, 82.6600 ± 0.5814
