method,lr,weight_decay,hidden_channels,power1,power2,normalize_feature,val_acc,test_acc
ognn, 0.01,0.001,64,2,1,False,89.1517 ± 1.2544, 89.1344 ± 1.3518
ognn, 0.01,0.001,64,2,2,False,89.4379 ± 0.6621, 89.4554 ± 0.7225
ognn, 0.001,0.001,64,2,1,False,88.1483 ± 0.1525, 88.1711 ± 0.0624
ognn, 0.001,0.0005,64,2,1,False,88.2911 ± 0.2099, 88.2945 ± 0.1523
ognn, 0.001,0.001,64,2,2,False,88.1113 ± 0.1338, 88.1589 ± 0.2368
ognn, 0.01,0.001,128,2,1,False,88.5983 ± 1.0057, 88.6105 ± 0.8886
ognn, 0.01,0.001,64,5,2,False,86.0446 ± 0.4103, 86.0707 ± 0.3527
ognn, 0.01,0.001,64,2,5,False,90.3145 ± 0.1155, 90.3306 ± 0.1078
ognn, 0.01,0.001,128,2,2,False,89.7339 ± 0.2061, 89.7402 ± 0.3178
ognn, 0.001,0.001,64,5,1,False,87.3854 ± 0.2598, 87.3858 ± 0.3230
ognn, 0.01,0.001,64,5,5,False,86.2068 ± 0.8366, 86.2405 ± 0.8392
ognn, 0.001,0.001,128,2,1,False,88.5486 ± 0.1059, 88.5528 ± 0.0810
ognn, 0.01,0.001,64,10,1,False,85.0399 ± 0.6904, 85.0587 ± 0.7646
ognn, 0.001,0.001,64,5,2,False,87.3925 ± 0.2026, 87.3911 ± 0.2496
ognn, 0.001,0.001,64,2,5,False,88.5352 ± 0.0919, 88.5581 ± 0.0751
ognn, 0.01,0.001,64,10,2,False,85.3871 ± 0.7897, 85.3953 ± 0.8444
ognn, 0.01,0.001,128,5,1,False,88.0699 ± 0.6137, 88.0362 ± 0.7299
ognn, 0.001,0.001,128,2,2,False,88.6479 ± 0.1447, 88.6557 ± 0.1429
ognn, 0.01,0.001,128,5,2,False,87.3505 ± 1.0227, 87.3567 ± 1.1562
ognn, 0.01,0.001,128,2,5,False,89.9405 ± 0.7039, 89.9441 ± 0.7717
ognn, 0.001,0.0005,64,2,2,False,88.3255 ± 0.2561, 88.3279 ± 0.2864
ognn, 0.01,0.001,64,10,5,False,84.7060 ± 1.2263, 84.7477 ± 1.3084
ognn, 0.001,0.001,64,5,5,False,87.6522 ± 0.1638, 87.6806 ± 0.2678
ognn, 0.001,0.001,64,10,1,False,85.6145 ± 0.4692, 85.5892 ± 0.5420
ognn, 0.001,0.001,64,10,2,False,85.7499 ± 0.4278, 85.7262 ± 0.5221
ognn, 0.001,0.0005,64,5,1,False,87.5834 ± 0.1105, 87.5815 ± 0.2533
ognn, 0.001,0.0005,64,2,5,False,88.5981 ± 0.1930, 88.6346 ± 0.2236
ognn, 0.001,0.001,128,5,1,False,87.5962 ± 0.1049, 87.6015 ± 0.2120
ognn, 0.01,0.001,128,5,5,False,87.7283 ± 0.8104, 87.7186 ± 0.9580
ognn, 0.01,0.001,64,20,1,False,79.8150 ± 4.2264, 79.7719 ± 4.3010
ognn, 0.01,0.001,128,10,1,False,84.1539 ± 1.4411, 84.0938 ± 1.4599
ognn, 0.01,0.001,64,20,2,False,78.8882 ± 5.4293, 78.9056 ± 5.4928
ognn, 0.01,0.0005,128,5,2,False,87.8914 ± 1.1966, 87.9340 ± 1.1994
ognn, 0.001,0.001,128,5,2,False,87.7772 ± 0.2820, 87.7920 ± 0.3468
ognn, 0.001,0.001,64,10,5,False,85.9405 ± 0.5786, 85.9323 ± 0.6508
ognn, 0.001,0.001,128,2,5,False,88.9287 ± 0.1634, 88.9574 ± 0.1905
ognn, 0.01,0.001,128,10,2,False,84.0295 ± 1.0794, 84.0066 ± 1.1265
ognn, 0.001,0.0005,64,5,2,False,87.5285 ± 0.1595, 87.5288 ± 0.1709
ognn, 0.01,0.001,64,20,5,False,79.9233 ± 4.6416, 79.9224 ± 4.7290
ognn, 0.001,0.0005,64,5,5,False,87.8205 ± 0.1599, 87.8509 ± 0.1975
ognn, 0.001,0.0005,64,10,1,False,85.8631 ± 0.3170, 85.8579 ± 0.4595
ognn, 0.001,0.001,64,20,1,False,78.9037 ± 4.1227, 78.8528 ± 4.2289
ognn, 0.001,0.0005,128,2,1,False,88.5834 ± 0.1449, 88.5978 ± 0.1547
ognn, 0.01,0.0005,128,5,5,False,88.9773 ± 0.8573, 88.9888 ± 0.6938
ognn, 0.001,0.001,128,5,5,False,88.0025 ± 0.1374, 88.0008 ± 0.2245
ognn, 0.001,0.001,64,20,2,False,79.6058 ± 3.9656, 79.6246 ± 3.8856
ognn, 0.001,0.0005,64,10,2,False,86.0132 ± 0.3067, 86.0212 ± 0.3883
ognn, 0.01,0.0005,128,10,1,False,86.4982 ± 1.8718, 86.5209 ± 1.7498
ognn, 0.001,0.001,128,10,1,False,85.8829 ± 0.1957, 85.8749 ± 0.3042
ognn, 0.001,0.0005,128,2,2,False,88.6482 ± 0.0965, 88.6521 ± 0.0888
ognn, 0.001,0.001,64,20,5,False,80.1420 ± 3.9125, 80.1656 ± 3.9503
ognn, 0.01,0.0005,128,10,2,False,84.9245 ± 1.9271, 84.8972 ± 1.9908
ognn, 0.001,0.001,128,10,2,False,86.1377 ± 0.6326, 86.1843 ± 0.7291
ognn, 0.001,0.0005,64,10,5,False,86.1470 ± 0.3289, 86.1374 ± 0.4357
